 ,,,,,,Kuttch,,,,,,,,,,Patan,,,,,,,Sabarkantha,,,,,,,Gandhi Nagar,,,Ahmedabad,,,,,,,Kheda,,,,,,,Surat,,,,,,,,,,Navsari,,,,,,,,,,
,,,,Overall Total,,Bhuj,Anjar,Rapar,Mundra,Mandvi,Abdasa,Bhachau,Gandhidham,Lakhpat,Nakhatrana,Santalpur,Harij,Chinasma,Sami,Radhanpur,Shankheshvar,Sarasawati,Talod,Prantij,Idar,Khedbrahma,Poshina,Vadali,Vijaynagar,Kalol,Dehgam,Mansa,Bavla,Dholka,Detroj Rampura,Dhandhuka,Dholera,Mandal,Viramgam,Kheda,Kathlal,Mahudha,,,,,Olpad,Adajan,Bardoli,Chorasi,Mahuva,Majura,Mandvi,Mangrol,Palsana,Umarpada,Navsari,Jalalpore,Chikhali,Gandevi,Khergam,Vansda,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MG Total,,,,,,,,,,,,,,,,,,,,,,NG Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Villages,,,1833,,77,56,94,31,85,0,0,0,0,66,66,43,54,43,53,0,60,68,53,127,0,0,49,0,43,82,47,42,62,48,43,9,32,72,4,59,10,,,1578,,48,0,0,0,0,0,0,0,0,59,15,55,21,42,1,14,,,,,255
,Total Majra,,,66,,24,40,129,1,51,0,0,0,0,14,3,8,6,6,12,0,3,53,5,26,0,0,49,0,19,48,10,3,10,11,1,1,1,6,4,108,19,,,24,,0,0,0,0,0,0,0,0,0,8,2,0,11,11,0,10,,,,,42
,Data Capture status,,,,,Yellow zone pending,Yellow zone pending,On Hold,Yellow zone pending,Completed,Yet to Start,Yet to Start,Yet to Start,Yet to Start,Yet to Start,Completed,Completed,Completed,Running,Running,Running,Completed,Completed,Completed,Completed,Running,Running,Running,Running,Completed,Completed,Completed,Completed,Completed,Running,Yet to Start,On Hold,Completed,Completed,Completed,Completed,Completed,,,,,Completed,Yet to Start,Yet to Start,Yet to Start,Yet to Start,Yet to Start,Yet to Start,Yet to Start,Yet to Start,Completed,Completed,Completed,Completed,Completed,Completed,Completed,,,,,
,Reflying status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processing Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Area Per Village + Majra,,,17.80,,120.91,30.81,0.00,14.90,70.27,0.00,0.00,0.00,0.00,0.00,44.68,40.77,61.49,0.00,0.00,0.00,29.62,77.14,30.43,0.00,0.00,0.00,13.38,0.00,17.02,9.03,0.00,18.74,24.99,0.00,13.29,0.00,0.00,0.00,0.00,0.00,0.00,,,16.69,,17.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,1.1119375
,Total Area,,,635.25,,120.91,30.81,0.00,14.90,70.27,0.00,0.00,0.00,0.00,0.00,44.68,40.77,61.49,0.00,0.00,0.00,29.62,77.14,30.43,0.00,0.00,0.00,13.38,0.00,17.02,9.03,0.00,18.74,24.99,0.00,13.29,0.00,0.00,0.00,0.00,0.00,0.00,,,617.46,,17.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,17.79
Difference between Processed and flown,,,,-492.32,,73.87,0.59,-17.29,-61.12,-11.92,0.00,0.00,0.00,0.00,-40.97,-13.91,0.00,40.20,-37.44,-39.68,0.00,-13.01,35.17,-7.60,-96.05,0.00,0.00,-36.37,0.00,-11.17,-41.54,-25.49,-4.49,0.77,-23.20,-11.65,-4.38,0.00,-38.35,0.00,-0.64,0.00,,,-385.68,,-47.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.88,-57.36,,,,,-106.64
Total Processing & Re-flying Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Completed Villages,,,1728,,77,40,18,31,85,0,0,0,0,66,66,43,54,43,53,0,60,68,53,127,0,0,46,0,41,82,47,42,62,48,43,9,32,69,4,59,10,,,1478,,44,0,0,0,0,0,0,0,0,59,15,54,21,42,1,14,,,,,250
,Completed Majras,,,599,,24,23,35,1,51,0,0,0,0,14,3,8,6,6,12,0,3,53,5,26,0,0,49,0,19,48,10,3,10,11,1,1,1,5,4,106,19,,,557,,0,0,0,0,0,0,0,0,0,8,2,0,11,11,0,10,,,,,42
,Reflying Required,,,848,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,,592,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,,,,256
,Re-observation Required,,,106,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,74,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,32
KML Area,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Area Per Village,,,#REF!,,#REF!,0.50,0.60,2.43,0.60,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.51,0.86,0.85,0.37,0.80,0.71,#DIV/0!,0.70,0.36,0.67,0.65,#DIV/0!,#DIV/0!,0.34,#DIV/0!,0.63,0.44,0.49,0.54,0.38,0.45,0.58,0.45,0.00,0.51,0.00,0.01,0.00,,,#REF!,,1.48,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,1.88,1.94,,,,,1.482
,Average Area per Majra,,,#DIV/0!,,0.33,0.45,0.19,0.62,0.62,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.53,0.08,0.51,0.19,0.50,0.16,#DIV/0!,0.18,0.34,0.46,0.51,#DIV/0!,#DIV/0!,0.69,#DIV/0!,0.12,0.36,0.24,0.22,0.07,0.17,0.00,0.35,0.00,0.57,0.00,0.00,0.00,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,0.00,0.00,#DIV/0!,3.03,,,,,#DIV/0!
,Average Area per Village + Majra,,,#DIV/0!,,0.47,0.48,0.33,2.38,0.60,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.51,0.85,0.80,0.35,0.76,0.61,#DIV/0!,0.68,0.35,0.66,0.63,#DIV/0!,#DIV/0!,0.52,#DIV/0!,0.47,0.39,0.45,0.52,0.34,0.39,0.57,0.44,0.00,0.52,0.00,0.00,0.00,,,#DIV/0!,,1.48,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,1.88,2.39,,,,,#DIV/0!
,Total Area,,,6,,47.04,30.22,17.29,76.02,82.19,0,0,0,0,40.97,58.59,40.77,21.29,37.44,39.68,0,42.63,41.97,38.03,96.05,0,0,49.75,0,28.19,50.577,25.49,23.22,24.22,23.2,24.94,4.38,0,38.35,0,0.64,0,,,1003.14,,65.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,57.36,,,,,124.43
Processing status,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data Yet to be Received,,,1956,,94,56,46,25,129,-7,-7,-7,-7,73,62,44,53,42,58,-7,56,114,51,146,-7,-7,88,-7,53,123,50,38,65,52,37,3,26,67,1,158,22,,,1776,,37,-7,-7,-7,-7,-7,-7,-7,-7,60,10,47,25,46,-6,17,,,,,180
,Data Received,,,371,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,259,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,112
,Data Verified,Passed,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Failed,Trigger Mismatch,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,,Bad Image Quality,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Pending,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,Base Processing,Pending,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Done,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Efforts,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Failed,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,GCP Processing,Pending,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Done,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Efforts,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Failed,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,Geo Tagging,Pending,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Done,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Efforts,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Failed,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,"
Image Processing",Pending,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Done,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Efforts,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
