 ,,,,,,Kuttch,,,,,,,,,,Patan,,,,,,,Sabarkantha,,,,,,,Gandhi Nagar,,,Ahmedabad,,,,,,,Kheda,,,,,,,Surat,,,,,,,,,,Navsari,,,,,,,,,,
,,Failed,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,QA/QC,Done,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Pending,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Efforts Required,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Failed,Reflying,106,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,74,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,32
,,,Re-observation,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,Reports,Prepared,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Pending,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,Ready to Submit,,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,Data Submitted,,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,Data Accepted,,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,Data Acceptance Pending,,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Completed Flights,,,1908,,64,57,13,31,137,0,0,0,0,71,85,36,53,45,81,0,74,103,24,60,0,0,78,0,54,114,32,57,68,21,19,10,15,36,6,82,16,,,1542,,102,0,0,0,0,0,0,0,0,68,16,91,30,30,1,28,,,,,366
,Reflying Required,,,848,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,,592,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,,,,256
,Re-observation Required,,,106,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,74,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,32
Processing Area,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Average Area Per Village,,,#DIV/0!,,.,0.62,0.00,0.44,0.47,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.59,0.84,1.14,0.00,0.00,#DIV/0!,0.49,0.64,0.57,0.00,#DIV/0!,#DIV/0!,0.12,#DIV/0!,0.34,0.09,0.00,0.45,0.36,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,,,#DIV/0!,,0.40,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,,,,,,,,,#DIV/0!
,Average Area per Majra,,,#DIV/0!,,2.13,0.23,0.00,1.41,0.59,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.57,0.57,0.00,0.00,0.00,#DIV/0!,0.00,0.63,0.00,0.00,#DIV/0!,#DIV/0!,0.16,#DIV/0!,0.15,0.03,0.00,0.13,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!,,,,,,,,,#DIV/0!
,Average Area per Village + Majra,,,#DIV/0!,,1.89,0.54,0.00,0.48,0.51,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.53,1.13,1.16,0.00,0.00,#DIV/0!,0.40,0.75,1.27,0.00,#DIV/0!,#DIV/0!,0.17,#DIV/0!,0.32,0.08,0.00,0.33,0.37,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,,,#DIV/0!,,0.17,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,#DIV/0!
,Total Area,,,635.25,,120.91,30.81,0.00,14.90,70.27,0.00,0.00,0.00,0.00,0.00,44.68,40.77,61.49,0.00,0.00,0.00,29.62,77.14,30.43,0.00,0.00,0.00,13.38,0.00,17.02,9.03,0.00,18.74,24.99,0.00,13.29,0.00,0.00,0.00,0.00,0.00,0.00,,,617.46,,17.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,17.79
Processing status,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
,Data Yet to be Received,,,1210,,57,50,6,24,130,-7,-7,-7,-7,64,78,29,46,38,74,-7,67,96,17,53,-7,-7,71,-7,47,107,25,50,61,14,12,3,8,29,-3,75,-3,,,1269,,-3,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-6,21,,,,,-59
,Data Received,,,698,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,7,19,,,273,,105,7,7,7,7,7,7,7,7,71,19,94,33,33,7,7,,,,,425
,Data Verified,Passed,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Failed,Trigger Mismatch,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,,Bad Image Quality,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Pending,,380,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,13,,,51,,99,1,1,1,1,1,1,1,1,65,13,88,27,27,1,1,,,,,329
,Base Processing,Pending,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Done,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Efforts,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Failed,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,GCP Processing,Pending,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Done,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Efforts,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Failed,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,Geo Tagging,Done,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Efforts,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Failed,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,"
Image Processing",Pending,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Done,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Efforts,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
,,Failed,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,QA/QC,Done,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Pending,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Efforts Required,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Failed,Reflying,106,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,74,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,32
,,,Re-observation,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,Reports,Prepared,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,,Pending,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,Ready to Submit,,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,Data Submitted,,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,Data Accepted,,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16
,Data Acceptance Pending,,,53,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,37,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,16